player_id,player_name,team_id,team_name,season_id,season_year,season_type,games_played,games_started,rushing_yards,rushing_touchdowns,receiving_yards,receiving_touchdowns,kick_return_yards,fumbles,fetched_at
8cc364b0-37c3-11ee-8aad-e574e8ef7217,Player_8cc364,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:57:40.466216+00:00
8cc364b0-37c3-11ee-8aad-e574e8ef7217,Player_8cc364,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:57:40.466224+00:00
8cc364b0-37c3-11ee-8aad-e574e8ef7217,Player_8cc364,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:57:40.466227+00:00
8cc5c0b9-52e8-45da-b6a6-bf67fab9781c,Player_8cc5c0,,,d1132b13-2c29-4e6d-9011-b627c7fd9a17,2021,REG,,,,,,,,,2026-04-16 13:57:42.307317+00:00
8cc5c0b9-52e8-45da-b6a6-bf67fab9781c,Player_8cc5c0,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:57:42.307328+00:00
8cc5c0b9-52e8-45da-b6a6-bf67fab9781c,Player_8cc5c0,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:57:42.307333+00:00
8ee02562-28be-4533-91f6-9692de970893,Player_8ee025,,,d1132b13-2c29-4e6d-9011-b627c7fd9a17,2021,REG,,,,,,,,,2026-04-16 13:57:44.123021+00:00
8ee02562-28be-4533-91f6-9692de970893,Player_8ee025,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:57:44.123029+00:00
8ee02562-28be-4533-91f6-9692de970893,Player_8ee025,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:57:44.123032+00:00
8ee02562-28be-4533-91f6-9692de970893,Player_8ee025,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:57:44.123034+00:00
8ee02562-28be-4533-91f6-9692de970893,Player_8ee025,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:57:44.123038+00:00
8fc0fba0-30d2-11f0-881a-e573237ad853,Player_8fc0fb,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:57:45.921879+00:00
92cdd7e0-58c5-11ef-9bfa-85db8004dd3b,Player_92cdd7,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:57:47.701232+00:00
92cdd7e0-58c5-11ef-9bfa-85db8004dd3b,Player_92cdd7,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:57:47.701241+00:00
92f041cb-6cc9-4a25-8ca2-8752dafbbc3b,Player_92f041,,,d1132b13-2c29-4e6d-9011-b627c7fd9a17,2021,REG,,,,,,,,,2026-04-16 13:57:49.496235+00:00
92f041cb-6cc9-4a25-8ca2-8752dafbbc3b,Player_92f041,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:57:49.496245+00:00
92f041cb-6cc9-4a25-8ca2-8752dafbbc3b,Player_92f041,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:57:49.496249+00:00
92f041cb-6cc9-4a25-8ca2-8752dafbbc3b,Player_92f041,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:57:49.496251+00:00
92f041cb-6cc9-4a25-8ca2-8752dafbbc3b,Player_92f041,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:57:49.496255+00:00
9452caab-2be2-427e-a63c-4a9edc252bdc,Player_9452ca,,,17d91be7-4bd3-4407-80e2-eca205c9284a,2020,REG,,,,,,,,,2026-04-16 13:57:51.485806+00:00
9452caab-2be2-427e-a63c-4a9edc252bdc,Player_9452ca,,,d1132b13-2c29-4e6d-9011-b627c7fd9a17,2021,REG,,,,,,,,,2026-04-16 13:57:51.485814+00:00
9452caab-2be2-427e-a63c-4a9edc252bdc,Player_9452ca,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:57:51.485817+00:00
9452caab-2be2-427e-a63c-4a9edc252bdc,Player_9452ca,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:57:51.485819+00:00
9452caab-2be2-427e-a63c-4a9edc252bdc,Player_9452ca,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:57:51.485821+00:00
9452caab-2be2-427e-a63c-4a9edc252bdc,Player_9452ca,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:57:51.485824+00:00
9875f210-30d1-11f0-881a-e573237ad853,Player_9875f2,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:57:53.293209+00:00
99a76e50-183a-11ed-a064-ef8b74c0c167,Player_99a76e,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:57:55.089580+00:00
99a76e50-183a-11ed-a064-ef8b74c0c167,Player_99a76e,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:57:55.089592+00:00
99a76e50-183a-11ed-a064-ef8b74c0c167,Player_99a76e,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:57:55.089597+00:00
99a76e50-183a-11ed-a064-ef8b74c0c167,Player_99a76e,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:57:55.089601+00:00
9a6337c0-850f-11ec-b84d-a909c14fc4b8,Player_9a6337,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:57:56.896424+00:00
9a6337c0-850f-11ec-b84d-a909c14fc4b8,Player_9a6337,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:57:56.896432+00:00
