stat_id,player_id,team_id,season_id,games_played,games_started,rushing_yards,rushing_touchdowns,receiving_yards,receiving_touchdowns,kick_return_yards,fumbles,first_name,last_name,position,team_name,team_market
1195,a5b6f4cc-989b-479e-a78f-ea243c55f2d7,0,17d91be7-4bd3-4407-80e2-eca205c9284a,0,0,0,0,0,0,0,0,Jacob,Graham,LS,,
61,3423a3a5-3ffc-4702-bae4-d016cb9c55bb,0,17d91be7-4bd3-4407-80e2-eca205c9284a,0,0,0,0,0,0,0,0,Colby,Garfield,LS,,
586,d15639f0-3704-11ee-be32-0d11f96c8dec,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Rayfield,Lotten,TE,,
216,a55ae680-7f04-11f0-94c4-d54c749da4ec,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Tyson,Craig,DB,,
618,f9b3eaa0-21f4-11f0-98a1-73112ad8abac,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Lorenzo,Smith,CB,,
408,4333d3f0-27a2-11ef-a052-05d5583f7ae4,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Zedekiah,Rodriguez-Brown,CB,,
1020,38a187c0-f030-11ed-8095-ff92e6250fed,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Zachary,Clay,TE,,
860,b8b0b110-1b91-11ef-882f-2da870f232bf,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Markie,Grant,CB,,
1212,aa8cfc20-8510-11ec-9a71-73254de4b571,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Jadon,Scarlett,DT,,
1052,4620b030-9dcc-11ed-9ec1-d7898d8b70ab,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,KC,Concepcion,WR,,
842,ac7ff12e-185a-4496-9cc3-1717966ca4f3,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Josh,Sterzer,TE,,
